Variable,Treatment,Coefficient,Std. Error,P-value,% Change,Significant (p<0.05)
Employment,Program 2.0 (2015),-0.20153533511058463,0.1998431820442596,0.3155052372102811,-18.25253085088685,False
Employment,Program 3.0 (2020),-0.03570448697013132,0.056125627699460424,0.5260351283308862,-3.507460061683698,False
Wages,Program 2.0 (2015),0.08686473909818872,0.02853659441764548,0.0029385767587644107,9.074913402840256,True
Wages,Program 3.0 (2020),-0.07176297642520112,0.04980397290976542,0.15253047288657728,-6.924852028864869,False
