NCESSCH,NAME,LAT,LON,grade,Has_Calc,Num_Calc_Classes,Has_CS,Num_CS_Classes,Has_Physics,Num_Physics_Classes
062271012885,Performing Arts Community at Diego Rivera Learning Complex,33.983657,-118.25596100000001,D,Yes,1,No,0,Yes,1
062271012937,Diego Rivera Learning Complex Green Design STEAM Academy,33.983657,-118.25596100000001,D,Yes,1,Yes,1,Yes,6
062271012971,Public Service Community at Diego Rivera Learning Complex,33.983657,-118.25596100000001,D,Yes,1,Yes,3,No,0
062271012973,Communication and Tech at Diego Rivera Lrng Complex,33.983657,-118.25596100000001,D,No,0,Yes,3,Yes,4
062271013065,Augustus Hawkins High,33.986351,-118.288193,C,Yes,1,Yes,6,Yes,6
062271013079,Mervyn M. Dymally High,33.957097,-118.269051,C,No,0,Yes,2,Yes,2
062271013086,Linda Esperanza Marquez High C School of Social Justice,33.982915000000006,-118.23404,D,Yes,1,Yes,1,No,0
062271013101,Hilda L. Solis Lrng Acad Sch of Tech Business and Ed,34.03922,-118.171921,D,Yes,1,No,0,Yes,2
062271013139,STEM Academy at Bernstein High,34.09598700000001,-118.31390499999999,C,Yes,2,Yes,4,Yes,5
062271013173,Linda Esperanza Marquez High A Hntngtn Park Inst of Appl Med,33.982915000000006,-118.23404,D,Yes,1,No,0,Yes,6
062271013203,Linda Esperanza Marquez High B LIBRA Academy,33.982915000000006,-118.23404,D,Yes,2,No,0,No,0
062271013271,Contreras Learning Center-School of Social Justice,34.05748599999999,-118.261472,C,Yes,1,No,0,Yes,2
062271013775,Boyle Heights Sci Tech Engr and Math Magnet,34.036887,-118.20986499999998,D,No,0,No,0,Yes,1
062271013971,Science Academy STEM Magnet,34.170983,-118.371581,C,Yes,5,Yes,2,Yes,5
062271014102,Maywood Center for Enriched Studies,33.987696,-118.183025,C,Yes,3,Yes,8,Yes,2
062271014112,Horace Mann UCLA Community,33.976206,-118.31155799999999,C,Yes,1,No,0,Yes,2
062271014289,University Pathways Public Service Academy,33.960623,-118.24893300000001,D,No,0,No,0,No,0
062271014307,University Pathways Medical Magnet Academy,33.932266999999996,-118.27002699999997,C,No,0,No,0,No,0
062547008726,Montebello Community Day,34.02380099999999,-118.141579,B,No,0,No,0,No,0
062547012972,Applied Technology Center,34.004799999999996,-118.117,C,No,0,No,0,Yes,1
062970010532,Palos Verdes High,33.78060000000001,-118.4196,A,Yes,5,No,0,Yes,4
062994004662,Blair High,34.126452,-118.14633399999998,D,Yes,1,No,0,Yes,9
062994004669,Rose City High (Continuation),34.139875,-118.134667,C,No,0,No,0,Yes,1
063132004840,Fremont Academy of Engineering and Design,34.040901,-117.75620700000002,C,No,0,Yes,20,Yes,10
063132004842,Garey High,34.037465,-117.752513,C,Yes,5,Yes,20,Yes,16
063442503273,Gabrielino High,34.0828,-118.0918,C,Yes,7,Yes,5,Yes,5
063442507166,Del Mar High,34.098499999999994,-118.0992,C,No,0,No,0,No,0
063570006098,Olympic High (Continuation),34.006794,-118.47724100000002,D,Yes,1,No,0,No,0
063750006338,South Pasadena Senior High,34.1094,-118.15340000000002,C,Yes,6,Yes,9,Yes,5
063898002195,Dr. Doug Sears Learning Center,34.106894,-118.057544,B,No,0,No,0,No,0
063898006540,Temple City High,34.11817099999999,-118.06399100000002,C,Yes,8,Yes,3,Yes,5
063898007145,Temple City Alternative,34.11817099999999,-118.06399100000002,C,No,0,No,0,No,0
069107808010,Renaissance County Community,33.89891399999999,-118.33259300000002,D,No,0,No,0,No,0
069107809663,L.A. County High School for the Arts,34.069364,-118.16718400000002,C,Yes,1,No,0,Yes,3
069107812696,Central Juvenile Hall,34.06408799999999,-118.20715300000002,D,No,0,No,0,No,0
