NCESSCH,NAME,LAT,LON,grade,Has_Calc,Num_Calc_Classes,Has_CS,Num_CS_Classes,Has_Physics,Num_Physics_Classes
060186712883,Synergy Quantum Academy,33.994012000000005,-118.26729199999997,D,Yes,1,Yes,3,Yes,5
060187313673,The Education Corps,33.82337,-118.185391,C,No,0,No,0,No,0
060188712399,Nea Community Learning Center,37.779205000000005,-122.287277,C,No,0,No,0,No,0
060189911635,Animo Ralph Bunche Charter High,34.0127,-118.2439,D,Yes,1,No,0,Yes,6
060190012378,Alliance Piera Barbaglia Shaheen Health Services Academy,33.960292,-118.294314,C,Yes,1,No,0,Yes,4
060192512271,Anahuacalmecac International Univ Prep of N. America,34.085122,-118.181578,C,No,0,Yes,1,No,0
060193410867,Alliance Judy Ivie Burton Technology Academy High,33.944161,-118.27869099999998,C,Yes,2,Yes,3,Yes,5
060195713410,KIPP San Francisco College Preparatory,37.732324,-122.382591,D,Yes,1,Yes,4,Yes,4
060197110729,Oakland Military Institute College Preparatory Academy,37.82953499999999,-122.272737,D,No,0,No,0,No,0
060200013537,Camino Nuevo High #2,34.076482999999996,-118.28566700000002,D,Yes,6,Yes,6,Yes,10
060200414117,Ednovate - Esperanza College Prep,34.03922,-118.171921,D,Yes,1,Yes,1,Yes,4
060205208504,Animo Leadership High,33.934767,-118.34798400000001,C,Yes,3,No,0,Yes,6
060207608718,Environmental Charter High - Lawndale,33.882012,-118.35526399999999,D,Yes,2,No,0,Yes,3
060209212248,Alain Leroy Locke College Preparatory Academy,33.935167,-118.26878999999997,C,Yes,2,No,0,Yes,12
060210311408,City Arts & Leadership Academy,37.721492999999995,-122.444865,C,Yes,1,No,0,Yes,2
060213111337,Central City Value,34.075129999999994,-118.288368,C,Yes,1,Yes,3,No,0
060213610056,The O'Farrell Charter,32.702116,-117.06583199999997,D,Yes,2,Yes,2,Yes,5
060216407497,School of Unlimited Learning,36.742404,-119.792701,C,No,0,No,0,No,0
060216714206,Ambassador Phillip V. Sanchez II Public Charter,36.72743,-119.8037,C,No,0,No,0,No,0
060217610851,Alliance Gertz-Ressler Richard Merkin 6-12 Complex,34.03650999999999,-118.28287899999998,C,Yes,2,Yes,3,Yes,5
060219213735,East Bay Innovation Academy,37.746032,-122.14136400000001,C,Yes,1,Yes,5,Yes,3
060221514355,Da Vinci RISE High,33.907392999999985,-118.341508,D,No,0,No,0,Yes,1
060223113851,Collegiate Charter High School of Los Angeles,34.027172,-118.193248,D,Yes,1,No,0,No,0
060223511313,Oscar De La Hoya Animo Charter High,34.02320999999999,-118.20341999999997,D,No,0,No,0,Yes,6
060226511312,CATCH Prep Charter High Inc.,34.00919,-118.32750999999999,A,No,0,No,0,No,0
060226611641,Alliance Ouchi-O'Donovan 6-12 Complex,33.993479,-118.322093,C,Yes,1,No,0,No,0
060227912848,Alliance Renee and Meyer Luskin Academy High,33.976628000000005,-118.325831,C,No,0,Yes,1,Yes,8
060229211351,Oakland Unity High,37.77382999999999,-122.18457999999997,B,Yes,6,Yes,2,Yes,5
060230714151,Animo City of Champions Charter High,33.95252399999999,-118.32503600000001,B,Yes,1,No,0,Yes,3
060234513094,Ednovate - USC Hybrid High College Prep,34.013743,-118.29185000000001,C,Yes,1,Yes,1,Yes,2
060236211632,Alliance Patti And Peter Neuwirth Leadership Academy,34.00141,-118.27372999999999,D,No,0,No,0,Yes,13
060239614253,Matrix for Success Academy,34.012573,-118.25797299999999,D,No,0,No,0,No,0
060239807165,Options for Youth San Gabriel,34.100229999999996,-118.11052000000001,D,Yes,3,Yes,1,Yes,1
060241311365,Wallis Annenberg High,34.010811,-118.27372299999999,D,No,0,No,0,Yes,1
060242607725,Gateway High,37.78343999999999,-122.43737499999999,D,Yes,1,Yes,1,Yes,4
060244611642,Alliance Marc & Eva Stern Math and Science,34.063793,-118.17076299999997,C,Yes,3,No,0,Yes,5
060246110848,Animo Venice Charter High,33.996524,-118.46297699999998,D,No,0,No,0,No,0
060247013741,TEACH Tech Charter High,33.93946499999999,-118.30876999999997,C,Yes,1,No,0,Yes,1
