County,HPI_2015,HPI_2024,PercentRise_2015_2024
Alameda,188.76,313.44,66.05212968849334
Alpine,130.5,,
Amador,142.96,237.22,65.93452714045887
Butte,166.7,289.67,73.76724655068988
Calaveras,147.22,261.94,77.92419508218991
Colusa,152.56,293.63,92.46853696906135
Contra Costa,165.34,283.63,71.54348614975203
Del Norte,163.99,352.24,114.79358497469356
El Dorado,161.73,273.64,69.19557286836086
Fresno,171.96,333.77,94.09746452663408
Glenn,171.48,304.81,77.75250758105902
Humboldt,184.07,321.27,74.5368609768023
Imperial,147.19,287.81,95.53638154765949
Inyo,169.56,299.18,76.44491625383345
Kern,175.78,324.07,84.36113323472522
Kings,157.96,299.04,89.31375031653583
Lake,141.47,244.48,72.81402417473669
Lassen,130.72,202.14,54.63586291309669
Los Angeles,216.02,398.42,84.43662623831126
Madera,159.2,323.1,102.9522613065327
Marin,169.7,249.06,46.76487919858575
Mariposa,161.88,255.28,57.697059550284166
Mendocino,160.94,255.49,58.74860196346465
Merced,145.44,296.32,103.74037403740375
Modoc,151.29,265.31,75.36519267631702
Mono,169.01,291.05,72.20874504467193
Monterey,147.21,282.47,91.88234494939204
Napa,177.5,293.96,65.6112676056338
Nevada,146.62,239.48,63.333788023462
Orange,209.46,383.5,83.08985009070943
Placer,161.23,275.83,71.07858339018793
Plumas,140.53,235.33,67.45890557176403
Riverside,178.63,362.88,103.14616805687736
Sacramento,167.87,320.17,90.72496574730447
San Benito,133.88,228.26,70.49596653719749
San Bernardino,192.82,387.25,100.83497562493517
San Diego,187.47,372.49,98.69312423321065
San Francisco,218.53,290.39,32.88335697615887
San Joaquin,147.87,288.36,95.0091296409008
San Luis Obispo,184.75,331.59,79.48037889039242
San Mateo,191.13,288.75,51.07518442944593
Santa Barbara,175.9,320.36,82.12620807276862
Santa Clara,174.56,288.72,65.39871677360222
Santa Cruz,160.04,256.12,60.03499125218696
Shasta,170.48,281.53,65.13960581886438
Sierra,123.75,216.97,75.32929292929292
Siskiyou,148.92,257.38,72.83105022831052
Solano,153.83,275.9,79.35383215237597
Sonoma,161.75,258.79,59.99381761978363
Stanislaus,157.54,307.75,95.3472134061191
Sutter,163.82,319.45,95.0006104260774
Tehama,157.77,273.25,73.19515750776445
Trinity,183.98,248.62,35.1342537232308
Tulare,159.45,310.37,94.65036061461275
Tuolumne,153.42,253.48,65.21965845391736
Ventura,185.49,324.78,75.09299692705804
Yolo,179.47,305.79,70.38502256644566
Yuba,164.96,335.36,103.29776915615906
