County,PercentRise_2019_2024,UnitsPer100k
Alameda,26.300519804972406,108.53562085538724
Alpine,,0.0
Amador,26.686248331108143,0.0
Butte,25.52324825583915,48.4421446658593
Calaveras,36.654841402337226,0.0
Colusa,37.21028037383177,0.0
Contra Costa,32.401269722714964,164.04190789827814
Del Norte,62.29266494655364,0.0
El Dorado,34.460223084860694,0.0
Fresno,52.47601644586568,0.0
Glenn,25.327905924920845,0.0
Humboldt,41.509932608025366,0.0
Imperial,56.30804323032641,0.0
Inyo,46.513222331048006,0.0
Kern,56.35916240470906,0.0
Kings,50.23360964581764,0.0
Lake,29.067680287192488,2416.287335536572
Lassen,20.39309112567003,0.0
Los Angeles,45.286803048535894,298.4734085346362
Madera,54.94916554766929,129.02143691174288
Marin,24.343484772840732,1.1525384659713018
Mariposa,28.16547846169294,0.0
Mendocino,26.86330006455138,0.0
Merced,49.959514170040485,79.53172907182012
Modoc,46.78284923928078,0.0
Mono,45.38688246166143,0.0
Monterey,47.01259498282504,343.71162387006825
Napa,30.974870789520576,0.0
Nevada,28.88434422259297,173.5760707221572
Orange,51.88720345360211,84.57162072219613
Placer,35.79657345411578,2168.2448556476716
Plumas,28.259210813167662,0.0
Riverside,58.90698896479242,30.420184568700527
Sacramento,42.55120213713269,704.1614597923343
San Benito,31.27444214400736,0.0
San Bernardino,56.762336558312754,6.7434262131025715
San Diego,58.43222321466547,208.36657499788816
San Francisco,5.581006399069214,93.67342341306876
San Joaquin,44.79538036655787,0.0
San Luis Obispo,45.677005535541674,102.3254161411238
San Mateo,17.650653954284316,1.1750344350369157
Santa Barbara,54.23426893264648,0.0
Santa Clara,32.09498101294781,0.0
Santa Cruz,29.021207999597003,1170.7121070991543
Shasta,34.77428311551534,0.0
Sierra,31.78449951409136,0.0
Siskiyou,35.81341354018258,0.0
Solano,34.63133752988824,96.4586231272661
Sonoma,25.34631405599148,100.33571572478093
Stanislaus,45.756370180922616,519.5614322984752
Sutter,42.70716997989725,87.61682242990653
Tehama,30.604148742950006,0.0
Trinity,33.36551872116727,0.0
Tulare,55.13845846246126,0.0
Tuolumne,31.677922077922073,0.0
Ventura,45.05582849486377,0.0
Yolo,33.32316009766306,0.0
Yuba,43.79555784238059,0.0
