SQGDP1 State quarterly gross domestic product (GDP) summary
SQGDP1 State quarterly gross domestic product (GDP) summary
State or DC
GeoFips,GeoName,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1,2024:Q2,2024:Q3,2024:Q4,2025:Q1,2025:Q2
12000,Florida,842088.0,850001.2,856943.3,858793.1,846083.9,853070.2,846179.8,852247.4,855312.1,854201.6,862159.2,859772.5,873524.7,874536.8,882753.9,889918.6,890251.7,900744.5,911509.3,920088.4,929324.3,942826.0,951363.5,960202.3,961563.1,973438.5,987088.5,993868.9,1003618.4,1008929.1,1015823.3,1031096.7,1043422.3,1043767.4,1056123.0,1058422.5,1071660.3,1077271.5,1089801.6,1100922.2,1089624.0,1007695.1,1091965.9,1100641.3,1124904.2,1163580.8,1184949.3,1217187.1,1217081.0,1235640.6,1257465.3,1273523.3,1293894.1,1299054.3,1313046.5,1331574.1,1336382.9,1342756.6,1360518.4,1369442.5,1378378.1,1389502.1
13000,Georgia,466169.9,468376.6,473166.5,478640.0,478261.4,479415.4,481910.4,485274.3,486783.6,489425.7,490548.4,489351.5,497148.3,497941.2,500347.8,504163.4,507848.9,515854.4,521847.9,524496.5,532564.7,539696.9,542769.8,545402.7,556295.1,558761.7,563192.5,568623.7,576513.1,578985.7,584304.5,594370.0,592862.9,597845.3,605171.3,607859.2,611817.8,617858.1,625225.3,628078.4,616257.2,567926.0,611620.2,617006.8,628848.7,638560.5,647200.8,660383.9,659210.2,669910.5,672371.2,678936.9,671964.9,676493.3,682134.0,687196.7,690282.1,695600.7,699946.5,703974.2,702395.7,707272.9
15000,Hawaii,75196.0,75651.5,76718.0,76955.2,76974.8,76992.3,76766.8,77962.9,78088.9,78728.3,79072.6,78886.3,80480.1,80183.7,80590.7,80884.9,80381.2,81088.4,81876.6,81873.4,83001.3,83774.8,84134.2,84520.3,85068.9,85526.3,85837.4,86249.1,86952.5,87167.1,87677.6,87948.2,88319.5,89232.3,88903.6,88890.3,88668.7,88374.6,89018.8,89358.8,86828.7,74933.2,77388.6,79636.7,81205.7,84498.0,86538.0,85886.5,86674.7,86881.7,87721.8,88686.6,88745.5,89451.6,89526.7,90845.0,90660.0,91539.0,92495.2,92817.7,93750.2,93853.2
16000,Idaho,62127.1,62185.0,62879.5,63314.1,62583.9,62699.7,62514.7,63017.6,62090.8,62004.6,62241.5,61692.2,63182.1,64422.1,65268.1,66206.9,66238.9,66481.7,67064.2,67354.8,68232.1,67563.8,67782.8,67583.5,69563.1,70161.1,71097.4,70948.5,71475.2,72602.2,73283.0,74380.2,76802.5,77360.4,77916.6,78529.0,79670.9,80442.5,81760.4,82703.2,82527.4,77183.7,84833.9,86301.5,87707.7,87989.8,88326.0,91797.0,91619.1,92215.5,93057.1,94278.2,94653.7,94310.3,95618.6,96563.4,97098.4,99206.2,100588.5,101376.2,100438.2,101231.3
17000,Illinois,743781.0,751543.8,761689.1,764551.6,766319.1,772094.5,771408.7,779080.2,794426.3,793682.2,790563.2,784221.4,791917.4,790672.7,795175.4,803975.4,797714.2,810220.2,818332.3,819693.7,820333.5,824655.0,830015.9,826695.3,824188.0,825439.8,824048.3,831942.7,827244.7,831227.2,834913.4,837922.0,846640.6,848069.3,853891.4,857467.4,853067.6,856589.0,864431.7,857984.9,834580.6,765171.3,818866.7,824153.8,842827.5,856246.8,859363.3,870020.7,874314.8,869978.2,870443.4,876893.5,878097.9,881308.0,886972.2,893483.0,892827.6,898830.1,902056.1,902789.7,900323.4,910910.8
18000,Indiana,314952.3,319915.0,324005.0,324054.8,321329.9,320842.8,320350.6,323607.8,324474.8,325818.3,324465.3,320746.6,332837.6,330668.9,334078.4,335244.6,337995.1,344604.3,347586.9,345124.8,341035.5,342015.8,340355.0,341414.4,343033.4,346480.7,350851.5,353391.1,354230.7,356327.6,357508.4,362076.4,367616.7,367646.0,369403.4,370385.6,366326.5,369152.5,372584.4,373965.5,367360.6,332439.2,367889.6,372164.9,378739.0,386053.2,387488.6,395210.1,392085.0,393731.9,394386.5,393722.5,394811.1,396839.3,402926.2,406901.6,409584.5,410042.0,413334.9,415052.1,417420.0,420585.4
19000,Iowa,159516.8,161600.6,162376.6,162878.2,162653.4,162882.9,163995.8,168705.0,170924.0,173101.8,171526.5,168142.7,170201.2,169442.4,171457.8,173175.2,174477.3,180717.6,183052.6,182992.3,184782.5,185117.8,186543.9,187512.6,186314.8,185548.4,188039.9,187016.4,188413.9,187162.1,185205.9,187718.2,190703.6,190538.9,189171.3,186566.6,187506.5,187347.5,189285.7,189745.9,187005.4,178248.3,190388.9,193404.0,200697.9,204098.6,202073.3,203012.7,203963.9,202659.2,203090.2,200976.9,198980.5,198720.5,202589.5,205148.6,205310.2,206865.9,206999.3,206580.3,205940.1,207795.3
20000,Kansas,140375.3,142749.9,145426.2,146928.9,145938.8,148460.3,148178.9,148769.2,154742.6,151906.5,147000.1,146659.1,148915.3,149939.0,150903.3,153054.0,149502.1,152967.0,156169.4,157801.9,155212.7,158379.2,159849.0,160969.4,161486.4,164308.5,166107.0,166672.9,166139.9,165908.1,166040.5,167005.8,167881.6,169081.3,170973.7,171250.9,167380.2,169793.4,170205.4,170870.0,172097.6,157918.6,168046.5,168422.8,165772.1,171005.0,171857.2,172970.4,177529.6,176046.2,178749.3,178779.3,180064.5,179250.3,180698.9,181056.4,179600.7,182342.6,181910.0,182545.3,181347.8,184321.1
21000,Kentucky,181622.3,186392.8,189641.8,189225.3,186945.8,187429.0,187850.6,191333.7,192420.8,193053.1,192283.0,190483.7,197648.8,196169.2,196708.6,196265.6,195110.8,197163.2,197632.9,197276.4,197771.6,199982.7,199912.0,200282.2,197986.3,200660.4,202736.4,202645.5,202092.8,203322.1,203725.3,205115.6,204572.2,206102.4,205975.3,207110.5,208912.4,210890.2,212681.2,214648.5,212216.7,192116.2,211019.1,211055.6,213932.3,214843.4,214959.0,218405.2,217336.9,220414.7,221571.5,223244.2,225103.6,225323.4,228316.0,229026.7,229287.3,230618.4,232056.0,231903.7,229972.5,232589.8
22000,Louisiana,250730.6,254520.2,256816.6,251800.3,243654.0,240744.0,238422.2,242123.3,244993.3,246509.6,240497.8,237666.7,237559.3,235252.0,235913.7,237204.1,236249.6,242857.9,246246.4,246817.7,242406.8,239747.6,239240.2,236942.0,235916.6,235354.0,235183.0,235763.1,238484.4,239621.5,240509.6,240707.4,244518.7,245080.4,245263.3,246018.7,246401.7,245995.5,247654.1,246646.5,235384.3,212743.5,226184.8,228231.4,235542.6,242847.7,244566.0,247371.9,239924.7,239242.1,239700.1,241305.3,244671.6,246059.8,250317.4,254748.8,254462.5,257224.8,258194.8,258341.4,256860.2,259398.6
