NCESSCH,NAME,LAT,LON,CITY,STATE
170993000678,Crown Elem Comm Acd Fine Arts Ctr,41.852537,-87.712786,Chicago,IL
170993000679,Darwin Elem School,41.9235,-87.7051,Chicago,IL
170993000681,Prosser Career Academy HS,41.9194,-87.7618,Chicago,IL
170993000682,Dulles Elem School,41.7797,-87.6169,Chicago,IL
170993000687,Davis N Elem School,41.8222,-87.7003,Chicago,IL
170993000689,Dawes Elem School,41.7455,-87.7174,Chicago,IL
170993000691,Deneen Elem School,41.7623,-87.6237,Chicago,IL
170993000692,Decatur Classical Elem School,42.009593,-87.704874,Chicago,IL
170993000694,Robinson Elem School,41.8172,-87.5986,Chicago,IL
170993000695,Dett Elem School,41.8796,-87.6808,Chicago,IL
170993000697,Chopin Elem School,41.8972,-87.6887,Chicago,IL
170993000698,Dever Elem School,41.9426,-87.8135,Chicago,IL
170993000706,Dewey Elem Academy of Fine Arts,41.796,-87.6423,Chicago,IL
170993000709,Disney Elem Magnet School,41.9568,-87.6469,Chicago,IL
170993000710,Dixon Elem School,41.743338,-87.610487,Chicago,IL
170993000712,Garvey  M Elem School,41.7066,-87.6471,Chicago,IL
170993000714,Young Magnet High School,41.8783,-87.6637,Chicago,IL
170993000718,Richards Career Academy HS,41.8028,-87.6621,Chicago,IL
170993000720,Hanson Park Elem School,41.9233,-87.7621,Chicago,IL
170993000722,Juarez Community Academy HS,41.852914,-87.66456,Chicago,IL
170993000725,Dore Elem School,41.774023,-87.799597,Chicago,IL
170993000728,Drake Elem School,41.843492,-87.628695,Chicago,IL
170993000729,Drummond Elem School,41.9158,-87.6744,Chicago,IL
170993000730,Leland Elem School,41.8736,-87.7497,Chicago,IL
170993000731,Dubois Elem School,41.654,-87.6143,Chicago,IL
170993000734,Dunne Technology Acad Elem Sch,41.6964,-87.6398,Chicago,IL
170993000737,Dvorak Technology Acad Elem Sch,41.8585,-87.7158,Chicago,IL
170993000738,Earle Elem School,41.781665,-87.675686,Chicago,IL
170993000739,Eberhart Elem School,41.7747,-87.7086,Chicago,IL
170993000741,Ebinger Elem School,42.0046,-87.8108,Chicago,IL
170993000743,Edgebrook Elem School,41.9994,-87.7611,Chicago,IL
170993000744,Edwards Elem School,41.8054,-87.7256,Chicago,IL
170993000745,Gunsaulus Elem Scholastic Academy,41.812753,-87.699739,Chicago,IL
