NCESSCH,NAME,LAT,LON,grade
170993006445,YCCS West,41.902,-87.749181,C
170993006446,CICS - Bucktown Campus,41.922535,-87.681066,D
170993006447,Noble St Chtr-Rowe-Clark MS Acad,41.895247,-87.718067,C
170993006449,YCCS-Latino Youth Alternative HS,41.854682,-87.695319,C
170993006450,Noble St Chtr-Butler - Crimson,41.70673,-87.602762,D
170993006451,LEARN Chtr - South Chicago Campus,41.73326,-87.544813,D
170993006452,Noble St Chtr-Pritzker Col Prep,41.915012,-87.729725,C
170993006453,Aspira Charter - Bus and Fin,41.935954,-87.717962,C
170993006454,Noble St Chtr-Hansberry Prep Slvr,41.734499,-87.651357,D
170993006457,LEARN Charter Excel Campus,41.88727,-87.702421,D
170993006458,YCCS Chtr - Chatham,41.730016,-87.606725,C
170993006461,CICS - Ralph Ellison Campus,41.748201,-87.669119,C
170993006462,CICS - Irving Park Campus,41.950644,-87.710726,C
170993006463,YCCS-CCA Academy HS,41.8651,-87.7248,C
170993006464,Noble St Chtr-The Noble Academy,41.907482,-87.645526,D
170993006465,CICS - Wrightwood,41.745185,-87.69287,D
170993006466,Univ of Chicago Chtr-Nth Kenwood,41.811188,-87.598128,C
170993006468,YCCS-Community Youth Dev Inst HS,41.751581,-87.642024,D
170993006469,LEARN Chtr - 7th Campus,41.88727,-87.702421,D
170993006470,Noble St Chtr-Noble Campus,41.900113,-87.662875,D
170993006471,LEARN Chtr - Butler,41.867171,-87.710895,C
170993006473,ASPIRA Charter - Early College Pr,41.937702,-87.726775,C
170993006475,CICS - West Belden Campus,41.921774,-87.776534,D
170993006477,KIPP Academy Chicago Campus,41.891633,-87.746828,C
170993006479,YCCS-McKinley-Lakeside Leadership,41.841589,-87.625464,D
170993006480,Noble St Chtr-DRW Trading Col,41.86921,-87.709931,C
170993006486,YCCS-Albizu Campos Puerto Rican,41.902732,-87.696021,C
170993006487,CICS - Loomis Primary Campus,41.720196,-87.656897,C
170993006488,CICS - Basil Campus,41.794202,-87.669977,C
170993006489,North Lawndale Prep Chtr - Christ,41.858617,-87.708818,D
170993006492,LEARN Chtr -  Hunter Perkins Camp,41.743307,-87.666328,B
170993006493,Univ of Chicago Chtr-Woodlawn,41.780302,-87.597473,C
170993006494,Noble St Chtr-Johnson Colg Prep,41.778717,-87.635453,D
170993006495,Univ of Chicago Chtr-Donoghue,41.827471,-87.608198,D
170993006496,YCCS-Association House,41.901636,-87.7073,C
170993006498,CICS - Prairie Campus,41.684562,-87.617059,D
170993006499,Noble St Chtr Rauner College Prep,41.892297,-87.661277,D
170993006500,CICS - Northtown  Campus,41.990909,-87.72797,B
170993006502,LEARN Chtr-Campbell Campus,41.877932,-87.698967,D
170993006503,Perspectives Chtr - Joslin Campus,41.856362,-87.628274,D
170993006504,YCCS-ASPIRA Pantoja Alt HS,41.937906,-87.7268,C
170993006507,CICS - Avalon/South Shore,41.743033,-87.587756,B
170993006509,KIPP Chicago Chrtrs - Ascend Acad,41.858587,-87.721779,C
170993006510,KIPP Chicago Chrtrs  Bloom Campus,41.79343,-87.641117,D
170993006512,CICS - Washington Pk Campus,41.784167,-87.621247,D
170993006514,Perspectives Chtr -  IIT Campus,41.827929,-87.624433,D
170993006515,Noble St Chtr-UIC College Prep,41.86526,-87.675623,D
170993006516,ASPIRA Charter - Haugan Campus,41.966276,-87.721876,C
170993006519,YCCS-Scholastic Achievement HS,41.88015,-87.742271,C
170993006521,Acero Chtr - Esmera Santiago Cmps,41.900491,-87.689974,C
170993006523,Noble St Chtr-Comer College Prep,41.765251,-87.603988,C
170993006587,Pathways in Education Brighton Pa,41.80837,-87.702351,C
170993006589,Ombudsman Chicago West,41.874713,-87.686576,D
170993006599,Pathways in Education Avondale,41.939548,-87.705478,D
170993006734,Pathways in Education - Humboldt,41.9027,-87.687891,C
