freq,size_emp,cost,unit,geo\TIME_PERIOD	2005 	2010 	2015 	2020 
A,10-49,DIR,PPS_EU27_2020,UK	238 	171 b	165 	: 
A,10-49,LCP,EUR,AT	85 	166 	208 	196 
A,10-49,LCP,EUR,BE	189 	334 	465 	275 
A,10-49,LCP,EUR,BG	4 	14 	23 	17 
A,10-49,LCP,EUR,CY	47 	113 	74 	65 
A,10-49,LCP,EUR,CZ	49 	47 	77 bd	85 b
A,10-49,LCP,EUR,DE	147 	110 	137 	153 
A,10-49,LCP,EUR,DK	443 	647 	341 	239 
A,10-49,LCP,EUR,EE	33 	47 	74 	109 
A,10-49,LCP,EUR,EL	19 	29 	13 	18 
A,10-49,LCP,EUR,ES	73 	114 	140 	457 
A,10-49,LCP,EUR,EU27_2020	106 	137 	148 	189 
A,10-49,LCP,EUR,EU28	104 	132 	145 	: 
A,10-49,LCP,EUR,FI	144 	184 	206 	128 
A,10-49,LCP,EUR,FR	176 	192 	202 	228 
A,10-49,LCP,EUR,HR	: 	76 	62 	70 
A,10-49,LCP,EUR,HU	19 	14 	11 	52 b
A,10-49,LCP,EUR,IE	111 	: 	467 	290 
A,10-49,LCP,EUR,IT	60 	93 	129 	243 
A,10-49,LCP,EUR,LT	10 	21 	21 	31 
A,10-49,LCP,EUR,LU	233 	369 	405 	503 
A,10-49,LCP,EUR,LV	: 	15 	22 	31 
A,10-49,LCP,EUR,MK	: 	: 	62 	19 
A,10-49,LCP,EUR,MT	61 	49 	75 	50 
A,10-49,LCP,EUR,NL	194 	331 	266 	277 
A,10-49,LCP,EUR,NO	237 	444 	443 	411 
A,10-49,LCP,EUR,PL	12 	14 	18 	21 
A,10-49,LCP,EUR,PT	52 	135 	85 	78 
A,10-49,LCP,EUR,RO	4 	: 	12 	5 
A,10-49,LCP,EUR,RS	: 	: 	: 	40 
A,10-49,LCP,EUR,SE	281 	436 	334 b	356 b
A,10-49,LCP,EUR,SI	143 	204 	285 	133 
A,10-49,LCP,EUR,SK	32 	93 	90 	74 
A,10-49,LCP,EUR,UK	93 	95 	124 	: 
A,10-49,LCP,PPS,AT	82 	151 	195 	: 
A,10-49,LCP,PPS,BE	180 	305 	437 	: 
A,10-49,LCP,PPS,BG	10 	31 	50 	: 
A,10-49,LCP,PPS,CY	56 	124 	84 	: 
A,10-49,LCP,PPS,CZ	84 	67 	121 bd	: 
A,10-49,LCP,PPS,DE	143 	104 	133 	: 
A,10-49,LCP,PPS,DK	327 	486 	262 	: 
A,10-49,LCP,PPS,EE	56 	70 	104 	: 
A,10-49,LCP,PPS,EL	23 	30 	16 	: 
A,10-49,LCP,PPS,ES	81 	120 	158 	: 
A,10-49,LCP,PPS,EU27_2020	110 	139 	155 	: 
A,10-49,LCP,PPS,EU28	104 	132 	145 	: 
A,10-49,LCP,PPS,FI	125 	156 	170 	: 
A,10-49,LCP,PPS,FR	163 	172 	187 	: 
A,10-49,LCP,PPS,HR	: 	110 	101 	: 
A,10-49,LCP,PPS,HU	30 	23 	20 	: 
A,10-49,LCP,PPS,IE	93 	: 	434 	: 
