freq,na_item,unit,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,B1GQ,CP_MEUR,BA	13691.8 	13988.3 	14791.1 b	15474.3 	16260.5 	17354.2 	18296.5 	17755.9 	20014.7 	23324.1 	25523.8 	26194.8 
A,B1GQ,CP_MEUR,BE	394616.3 	404958.3 	415538.0 	428467.1 	443407.2 	459491.8 	479444.9 	463750.9 	506047.2 	561309.1 	602376.3 	620271.8 p
A,B1GQ,CP_MEUR,BG	42056.2 	43024.7 	45797.8 	48752.1 	52501.8 	56000.6 	61195.4 	61856.5 	71345.0 	86079.5 	94526.6 	104768.8 
A,B1GQ,CP_MEUR,CH	531729.1 	548014.5 	625532.7 	621765.1 	615776.3 	614304.4 	644443.2 	650742.6 	689174.9 	787386.5 	826951.8 	865619.7 
A,B1GQ,CP_MEUR,CY	18040.3 	17482.8 	17944.2 	19013.8 	20312.4 	21807.8 	23400.9 	22373.6 	25679.9 	29645.4 	32439.2 	34770.2 p
A,B1GQ,CP_MEUR,CZ	160470.0 	158991.5 	170527.3 	179145.9 	196738.7 	213505.4 	229406.7 	220310.6 	246012.3 	286976.8 	319099.1 	320741.7 
A,B1GQ,CP_MEUR,DE	2866480.0 	2984470.0 	3087030.0 	3195210.0 	3333110.0 	3434030.0 	3537280.0 	3450720.0 	3682340.0 	3989390.0 p	4219310.0 p	4328970.0 p
A,B1GQ,CP_MEUR,DK	259530.9 	265635.7 	272193.0 	282265.1 	294355.0 	301017.3 	308546.2 	312118.3 	343318.6 	380567.4 	374173.6 	392400.7 
A,B1GQ,CP_MEUR,EA19	10012297.2 	10254052.0 	10616222.3 	10904868.5 	11318040.7 	11694023.9 	12084516.3 	11565084.6 	12560309.4 	13690316.7 	14584465.5 	15145409.2 
A,B1GQ,CP_MEUR,EA20	10057096.5 	10298332.7 	10661709.8 	10952442.0 	11368245.0 	11747059.3 	12140284.1 	11615802.3 	12618699.7 	13757926.2 	14663651.9 	15231314.4 
A,B1GQ,CP_MEUR,EE	19163.2 	20365.6 	21010.9 	22189.0 	24316.1 	26438.5 	28472.1 	27859.3 	31453.3 	36300.9 	38353.4 	39847.7 
A,B1GQ,CP_MEUR,EL	178113.9 	176071.8 	175362.9 	174448.2 	177378.5 	180615.7 	185181.2 	167539.5 	184574.6 	207008.7 	224686.2 p	236736.0 p
A,B1GQ,CP_MEUR,ES	1025652.0 	1038949.0 	1087112.0 	1122967.0 	1170024.0 	1212276.0 	1253710.0 	1129214.0 	1235474.0 	1375863.0 	1497761.0 p	1594330.0 p
A,B1GQ,CP_MEUR,EU27_2020	11594282.8 	11867203.0 	12308193.9 	12638273.2 	13169371.7 	13628647.4 	14122773.4 	13578816.3 	14792288.9 	16169776.2 	17257316.2 	18015434.3 
A,B1GQ,CP_MEUR,FI	203497.0 	205855.0 	210192.0 	215717.0 	224706.0 	231905.0 	238518.0 	236387.0 	248764.0 	266135.0 	272848.0 	275963.0 
A,B1GQ,CP_MEUR,FR	2120351.9 	2153733.1 	2201401.6 	2231819.2 	2291680.5 	2355362.8 	2432206.8 	2318276.2 	2508102.3 	2653997.2 	2826541.5 p	2919899.9 p
A,B1GQ,CP_MEUR,HR	44799.3 	44280.7 	45487.5 	47573.5 	50204.3 	53035.3 	55767.8 	50717.8 	58390.4 	67609.4 	79186.3 	85905.2 p
A,B1GQ,CP_MEUR,HU	102210.9 	106335.3 	112854.0 	116593.5 	127222.5 	136580.0 	147373.2 	138954.5 	154971.7 	168546.2 	197178.7 	206040.1 p
A,B1GQ,CP_MEUR,IE	182908.6 	200594.9 	272282.9 	275933.1 	308366.0 	335136.0 	363752.6 	381728.7 	448445.1 	520718.4 	524728.8 	562794.2 
A,B1GQ,CP_MEUR,IS	12222.7 	13611.7 	15960.5 	19067.0 	22211.8 	22591.2 	22315.1 	19302.5 	22188.1 	27738.9 	29301.6 	30726.8 
