FIPS,State,Year,Month,Population,LaborForce,LF_Percent,Employed,Emp_Percent,Unemployed,Unemp_Rate
50,Vermont,1976,9,345000,219695,63.7,202165,58.6,17530,8.0
51,Virginia,1976,9,3598000,2347926,65.3,2212116,61.5,135810,5.8
53,Washington,1976,9,2650000,1640538,61.9,1494060,56.4,146478,8.9
54,West Virginia,1976,9,1374000,705119,51.3,656575,47.8,48544,6.9
55,Wisconsin,1976,9,3276000,2160023,65.9,2042938,62.4,117085,5.4
56,Wyoming,1976,9,278000,183631,66.1,176747,63.6,6884,3.7
1,Alabama,1976,10,2650000,1514825,57.2,1410640,53.2,104185,6.9
2,Alaska,1976,10,244000,168115,68.9,154116,63.2,13999,8.3
4,Arizona,1976,10,1671000,1000041,59.8,904825,54.1,95216,9.5
5,Arkansas,1976,10,1555000,898323,57.8,839525,54.0,58798,6.5
6,California,1976,10,15954000,10026435,62.8,9088117,57.0,938318,9.4
37,Los Angeles County,1976,10,5346000,3412343,63.8,3104352,58.1,307991,9.0
8,Colorado,1976,10,1876000,1254866,66.9,1176460,62.7,78406,6.2
9,Connecticut,1976,10,2267000,1459963,64.4,1333436,58.8,126527,8.7
10,Delaware,1976,10,423000,265926,62.9,241226,57.0,24700,9.3
11,District of Columbia,1976,10,516000,328852,63.7,300104,58.2,28748,8.7
12,Florida,1976,10,6567000,3616716,55.1,3290080,50.1,326636,9.0
13,Georgia,1976,10,3582000,2296535,64.1,2111771,59.0,184764,8.0
15,Hawaii,1976,10,597000,412079,69.0,375729,62.9,36350,8.8
16,Idaho,1976,10,595000,379000,63.7,357561,60.1,21439,5.7
17,Illinois,1976,10,8209000,5161823,62.9,4828398,58.8,333425,6.5
18,Indiana,1976,10,3828000,2451839,64.1,2310748,60.4,141091,5.8
19,Iowa,1976,10,2091000,1347680,64.5,1293825,61.9,53855,4.0
20,Kansas,1976,10,1655000,1088369,65.8,1043934,63.1,44435,4.1
21,Kentucky,1976,10,2503000,1497691,59.8,1419629,56.7,78062,5.2
22,Louisiana,1976,10,2729000,1545137,56.6,1439081,52.7,106056,6.9
23,Maine,1976,10,778000,477229,61.3,435565,56.0,41664,8.7
24,Maryland,1976,10,2993000,1926637,64.4,1796270,60.0,130367,6.8
25,Massachusetts,1976,10,4224000,2741189,64.9,2493164,59.0,248025,9.0
26,Michigan,1976,10,6477000,4011031,61.9,3650750,56.4,360281,9.0
27,Minnesota,1976,10,2827000,1871364,66.2,1762052,62.3,109312,5.8
28,Mississippi,1976,10,1667000,976180,58.6,912519,54.7,63661,6.5
29,Missouri,1976,10,3501000,2151771,61.5,2012429,57.5,139342,6.5
30,Montana,1976,10,540000,336763,62.4,316635,58.6,20128,6.0
31,Nebraska,1976,10,1105000,721920,65.3,699366,63.3,22554,3.1
32,Nevada,1976,10,471000,334399,71.0,305521,64.9,28878,8.6
33,New Hampshire,1976,10,608000,405609,66.7,379990,62.5,25619,6.3
34,New Jersey,1976,10,5398000,3344823,62.0,2991844,55.4,352979,10.6
35,New Mexico,1976,10,818000,494734,60.5,450534,55.1,44200,8.9
36,New York,1976,10,13234000,7681622,58.0,6897681,52.1,783941,10.2
51000,New York city,1976,10,5666000,3078600,54.3,2739449,48.3,339151,11.0
37,North Carolina,1976,10,3963000,2618089,66.1,2458347,62.0,159742,6.1
38,North Dakota,1976,10,449000,283445,63.1,271931,60.6,11514,4.1
39,Ohio,1976,10,7752000,4750521,61.3,4394717,56.7,355804,7.5
40,Oklahoma,1976,10,2034000,1196782,58.8,1132518,55.7,64264,5.4
41,Oregon,1976,10,1756000,1116315,63.6,1012804,57.7,103511,9.3
42,Pennsylvania,1976,10,8828000,5146281,58.3,4740685,53.7,405596,7.9
44,Rhode Island,1976,10,699000,441559,63.2,404478,57.9,37081,8.4
45,South Carolina,1976,10,2023000,1302321,64.4,1213827,60.0,88494,6.8
46,South Dakota,1976,10,483000,314756,65.2,303627,62.9,11129,3.5
47,Tennessee,1976,10,3135000,1885556,60.1,1767245,56.4,118311,6.3
48,Texas,1976,10,9044000,5768789,63.8,5438502,60.1,330287,5.7
49,Utah,1976,10,845000,532340,63.0,503589,59.6,28751,5.4
50,Vermont,1976,10,345000,219891,63.7,202554,58.7,17337,7.9
51,Virginia,1976,10,3605000,2352640,65.3,2216796,61.5,135844,5.8
53,Washington,1976,10,2657000,1650702,62.1,1501267,56.5,149435,9.1
54,West Virginia,1976,10,1376000,704316,51.2,656262,47.7,48054,6.8
55,Wisconsin,1976,10,3281000,2162764,65.9,2045627,62.3,117137,5.4
56,Wyoming,1976,10,279000,184477,66.1,177567,63.6,6910,3.7
1,Alabama,1976,11,2654000,1519978,57.3,1413890,53.3,106088,7.0
2,Alaska,1976,11,244000,168505,69.1,153988,63.1,14517,8.6
4,Arizona,1976,11,1678000,1005261,59.9,910344,54.3,94917,9.4
5,Arkansas,1976,11,1558000,900677,57.8,841605,54.0,59072,6.6
6,California,1976,11,15991000,10065325,62.9,9118908,57.0,946417,9.4
37,Los Angeles County,1976,11,5351000,3416742,63.9,3107797,58.1,308945,9.0
8,Colorado,1976,11,1881000,1262495,67.1,1181817,62.8,80678,6.4
9,Connecticut,1976,11,2270000,1459150,64.3,1334835,58.8,124315,8.5
10,Delaware,1976,11,424000,266655,62.9,241709,57.0,24946,9.4
11,District of Columbia,1976,11,515000,328267,63.7,299335,58.1,28932,8.8
12,Florida,1976,11,6584000,3623322,55.0,3295090,50.0,328232,9.1
13,Georgia,1976,11,3590000,2302959,64.1,2116529,59.0,186430,8.1
15,Hawaii,1976,11,599000,412911,68.9,376785,62.9,36126,8.7
16,Idaho,1976,11,597000,380955,63.8,359005,60.1,21950,5.8
17,Illinois,1976,11,8218000,5167685,62.9,4838034,58.9,329651,6.4
18,Indiana,1976,11,3833000,2450360,63.9,2307962,60.2,142398,5.8
19,Iowa,1976,11,2093000,1353383,64.7,1298613,62.0,54770,4.0
20,Kansas,1976,11,1658000,1090690,65.8,1045818,63.1,44872,4.1
21,Kentucky,1976,11,2507000,1500335,59.8,1422783,56.8,77552,5.2
22,Louisiana,1976,11,2734000,1547156,56.6,1441103,52.7,106053,6.9
23,Maine,1976,11,780000,477789,61.3,435223,55.8,42566,8.9
24,Maryland,1976,11,2997000,1929785,64.4,1799543,60.0,130242,6.7
25,Massachusetts,1976,11,4227000,2737944,64.8,2493123,59.0,244821,8.9
26,Michigan,1976,11,6485000,4017493,62.0,3657495,56.4,359998,9.0
27,Minnesota,1976,11,2831000,1875690,66.3,1765373,62.4,110317,5.9
28,Mississippi,1976,11,1670000,978206,58.6,913296,54.7,64910,6.6
29,Missouri,1976,11,3505000,2157193,61.5,2016286,57.5,140907,6.5
30,Montana,1976,11,542000,338492,62.5,318093,58.7,20399,6.0
31,Nebraska,1976,11,1106000,723844,65.4,701007,63.4,22837,3.2
32,Nevada,1976,11,474000,336518,71.0,307260,64.8,29258,8.7
33,New Hampshire,1976,11,610000,406891,66.7,381183,62.5,25708,6.3
34,New Jersey,1976,11,5403000,3350877,62.0,2995222,55.4,355655,10.6
35,New Mexico,1976,11,820000,497026,60.6,452203,55.1,44823,9.0
36,New York,1976,11,13235000,7675901,58.0,6894011,52.1,781890,10.2
51000,New York city,1976,11,5660000,3075808,54.3,2739468,48.4,336340,10.9
37,North Carolina,1976,11,3971000,2619860,66.0,2456804,61.9,163056,6.2
38,North Dakota,1976,11,449000,283913,63.2,272134,60.6,11779,4.1
39,Ohio,1976,11,7759000,4758025,61.3,4398793,56.7,359232,7.6
40,Oklahoma,1976,11,2038000,1200060,58.9,1136286,55.8,63774,5.3
41,Oregon,1976,11,1761000,1121833,63.7,1017475,57.8,104358,9.3
42,Pennsylvania,1976,11,8835000,5152188,58.3,4741145,53.7,411043,8.0
44,Rhode Island,1976,11,700000,442191,63.2,404228,57.7,37963,8.6
45,South Carolina,1976,11,2027000,1305293,64.4,1215724,60.0,89569,6.9
46,South Dakota,1976,11,483000,315265,65.3,303805,62.9,11460,3.6
47,Tennessee,1976,11,3142000,1893720,60.3,1772704,56.4,121016,6.4
48,Texas,1976,11,9067000,5783812,63.8,5451495,60.1,332317,5.7
49,Utah,1976,11,847000,534050,63.1,504995,59.6,29055,5.4
50,Vermont,1976,11,346000,220345,63.7,203100,58.7,17245,7.8
51,Virginia,1976,11,3612000,2358119,65.3,2222123,61.5,135996,5.8
53,Washington,1976,11,2664000,1660141,62.3,1507809,56.6,152332,9.2
54,West Virginia,1976,11,1378000,704963,51.2,656525,47.6,48438,6.9
55,Wisconsin,1976,11,3286000,2164581,65.9,2047598,62.3,116983,5.4
56,Wyoming,1976,11,280000,185407,66.2,178416,63.7,6991,3.8
1,Alabama,1976,12,2659000,1525730,57.4,1417615,53.3,108115,7.1
2,Alaska,1976,12,245000,168889,68.9,153918,62.8,14971,8.9
4,Arizona,1976,12,1684000,1010431,60.0,915921,54.4,94510,9.4
5,Arkansas,1976,12,1561000,903372,57.9,843842,54.1,59530,6.6
6,California,1976,12,16029000,10102133,63.0,9155565,57.1,946568,9.4
37,Los Angeles County,1976,12,5356000,3420001,63.9,3112604,58.1,307397,9.0
8,Colorado,1976,12,1887000,1269197,67.3,1186464,62.9,82733,6.5
9,Connecticut,1976,12,2272000,1459768,64.3,1337696,58.9,122072,8.4
10,Delaware,1976,12,424000,267573,63.1,242503,57.2,25070,9.4
11,District of Columbia,1976,12,515000,327874,63.7,298898,58.0,28976,8.8
12,Florida,1976,12,6602000,3631105,55.0,3301873,50.0,329232,9.1
13,Georgia,1976,12,3597000,2308334,64.2,2121483,59.0,186851,8.1
15,Hawaii,1976,12,600000,413803,69.0,378057,63.0,35746,8.6
16,Idaho,1976,12,599000,382931,63.9,360476,60.2,22455,5.9
17,Illinois,1976,12,8226000,5178645,63.0,4853110,59.0,325535,6.3
18,Indiana,1976,12,3837000,2448970,63.8,2306275,60.1,142695,5.8
19,Iowa,1976,12,2095000,1359683,64.9,1304178,62.3,55505,4.1
20,Kansas,1976,12,1660000,1093102,65.8,1047863,63.1,45239,4.1
21,Kentucky,1976,12,2511000,1504646,59.9,1427326,56.8,77320,5.1
22,Louisiana,1976,12,2740000,1549928,56.6,1444011,52.7,105917,6.8
23,Maine,1976,12,781000,478625,61.3,435295,55.7,43330,9.1
24,Maryland,1976,12,3002000,1933381,64.4,1804000,60.1,129381,6.7
25,Massachusetts,1976,12,4231000,2733088,64.6,2491350,58.9,241738,8.8
26,Michigan,1976,12,6493000,4025950,62.0,3667012,56.5,358938,8.9
27,Minnesota,1976,12,2835000,1879874,66.3,1769281,62.4,110593,5.9
28,Mississippi,1976,12,1673000,980231,58.6,914018,54.6,66213,6.8
29,Missouri,1976,12,3509000,2161480,61.6,2020801,57.6,140679,6.5
30,Montana,1976,12,543000,340049,62.6,319433,58.8,20616,6.1
31,Nebraska,1976,12,1107000,725851,65.6,702829,63.5,23022,3.2
32,Nevada,1976,12,476000,338614,71.1,309262,65.0,29352,8.7
33,New Hampshire,1976,12,612000,408367,66.7,382545,62.5,25822,6.3
34,New Jersey,1976,12,5407000,3357559,62.1,3000325,55.5,357234,10.6
35,New Mexico,1976,12,823000,499394,60.7,454260,55.2,45134,9.0
36,New York,1976,12,13237000,7675918,58.0,6896827,52.1,779091,10.1
51000,New York city,1976,12,5654000,3074012,54.4,2740620,48.5,333392,10.8
37,North Carolina,1976,12,3978000,2622855,65.9,2457323,61.8,165532,6.3
38,North Dakota,1976,12,450000,284394,63.2,272346,60.5,12048,4.2
39,Ohio,1976,12,7766000,4768518,61.4,4408229,56.8,360289,7.6
40,Oklahoma,1976,12,2041000,1204552,59.0,1141121,55.9,63431,5.3
41,Oregon,1976,12,1766000,1126552,63.8,1022112,57.9,104440,9.3
42,Pennsylvania,1976,12,8841000,5159800,58.4,4743446,53.7,416354,8.1
44,Rhode Island,1976,12,701000,443215,63.2,404553,57.7,38662,8.7
45,South Carolina,1976,12,2032000,1308679,64.4,1217655,59.9,91024,7.0
46,South Dakota,1976,12,484000,315737,65.2,304039,62.8,11698,3.7
47,Tennessee,1976,12,3148000,1902337,60.4,1778871,56.5,123466,6.5
48,Texas,1976,12,9091000,5803870,63.8,5468071,60.1,335799,5.8
49,Utah,1976,12,850000,535869,63.0,506510,59.6,29359,5.5
50,Vermont,1976,12,347000,221105,63.7,203884,58.8,17221,7.8
51,Virginia,1976,12,3620000,2364146,65.3,2228037,61.5,136109,5.8
53,Washington,1976,12,2671000,1668607,62.5,1513947,56.7,154660,9.3
54,West Virginia,1976,12,1381000,706727,51.2,657502,47.6,49225,7.0
55,Wisconsin,1976,12,3290000,2166253,65.8,2049778,62.3,116475,5.4
56,Wyoming,1976,12,281000,186487,66.4,179394,63.8,7093,3.8
1,Alabama,1977,1,2663000,1532201,57.5,1421845,53.4,110356,7.2
2,Alaska,1977,1,245000,169388,69.1,153995,62.9,15393,9.1
4,Arizona,1977,1,1690000,1016073,60.1,921789,54.5,94284,9.3
5,Arkansas,1977,1,1565000,906405,57.9,846357,54.1,60048,6.6
6,California,1977,1,16066000,10140338,63.1,9200277,57.3,940061,9.3
37,Los Angeles County,1977,1,5362000,3424200,63.9,3120574,58.2,303626,8.9
8,Colorado,1977,1,1892000,1274854,67.4,1190556,62.9,84298,6.6
9,Connecticut,1977,1,2274000,1462521,64.3,1342783,59.0,119738,8.2
10,Delaware,1977,1,425000,268714,63.2,243674,57.3,25040,9.3
11,District of Columbia,1977,1,515000,327753,63.6,298855,58.0,28898,8.8
12,Florida,1977,1,6619000,3641458,55.0,3311884,50.0,329574,9.1
13,Georgia,1977,1,3605000,2312868,64.2,2127328,59.0,185540,8.0
15,Hawaii,1977,1,601000,414776,69.0,379573,63.2,35203,8.5
16,Idaho,1977,1,601000,384960,64.1,362128,60.3,22832,5.9
17,Illinois,1977,1,8235000,5195823,63.1,4873813,59.2,322010,6.2
18,Indiana,1977,1,3842000,2450208,63.8,2307894,60.1,142314,5.8
19,Iowa,1977,1,2098000,1366083,65.1,1310207,62.5,55876,4.1
20,Kansas,1977,1,1662000,1095844,65.9,1050390,63.2,45454,4.1
21,Kentucky,1977,1,2516000,1510608,60.0,1433442,57.0,77166,5.1
22,Louisiana,1977,1,2745000,1554742,56.6,1448836,52.8,105906,6.8
23,Maine,1977,1,782000,479542,61.3,435803,55.7,43739,9.1
24,Maryland,1977,1,3006000,1938070,64.5,1810108,60.2,127962,6.6
25,Massachusetts,1977,1,4234000,2729973,64.5,2491298,58.8,238675,8.7
26,Michigan,1977,1,6501000,4036956,62.1,3680501,56.6,356455,8.8
27,Minnesota,1977,1,2839000,1885181,66.4,1774784,62.5,110397,5.9
28,Mississippi,1977,1,1676000,982325,58.6,914682,54.6,67643,6.9
29,Missouri,1977,1,3513000,2165844,61.7,2026697,57.7,139147,6.4
30,Montana,1977,1,544000,341573,62.8,320797,59.0,20776,6.1
31,Nebraska,1977,1,1108000,728123,65.7,704956,63.6,23167,3.2
32,Nevada,1977,1,478000,340689,71.3,311621,65.2,29068,8.5
33,New Hampshire,1977,1,614000,410128,66.8,384228,62.6,25900,6.3
34,New Jersey,1977,1,5411000,3365292,62.2,3008584,55.6,356708,10.6
35,New Mexico,1977,1,825000,501803,60.8,456822,55.4,44981,9.0
36,New York,1977,1,13238000,7683751,58.0,6908150,52.2,775601,10.1
51000,New York city,1977,1,5649000,3073428,54.4,2742904,48.6,330524,10.8
37,North Carolina,1977,1,3986000,2628202,65.9,2461515,61.8,166687,6.3
38,North Dakota,1977,1,450000,284998,63.3,272709,60.6,12289,4.3
39,Ohio,1977,1,7773000,4781086,61.5,4423538,56.9,357548,7.5
40,Oklahoma,1977,1,2045000,1210267,59.2,1146749,56.1,63518,5.2
41,Oregon,1977,1,1772000,1130783,63.8,1027161,58.0,103622,9.2
42,Pennsylvania,1977,1,8847000,5169473,58.4,4750228,53.7,419245,8.1
44,Rhode Island,1977,1,701000,444417,63.4,405400,57.8,39017,8.8
45,South Carolina,1977,1,2036000,1312593,64.5,1219886,59.9,92707,7.1
46,South Dakota,1977,1,484000,316268,65.3,304440,62.9,11828,3.7
47,Tennessee,1977,1,3154000,1911355,60.6,1786110,56.6,125245,6.6
48,Texas,1977,1,9114000,5828875,64.0,5490547,60.2,338328,5.8
49,Utah,1977,1,852000,537889,63.1,508281,59.7,29608,5.5
50,Vermont,1977,1,348000,222144,63.8,204932,58.9,17212,7.7
51,Virginia,1977,1,3627000,2370538,65.4,2234354,61.6,136184,5.7
53,Washington,1977,1,2678000,1676342,62.6,1520202,56.8,156140,9.3
54,West Virginia,1977,1,1383000,709294,51.3,659288,47.7,50006,7.1
55,Wisconsin,1977,1,3295000,2169123,65.8,2053233,62.3,115890,5.3
56,Wyoming,1977,1,282000,187767,66.6,180585,64.0,7182,3.8
1,Alabama,1977,2,2668000,1539135,57.7,1426532,53.5,112603,7.3
2,Alaska,1977,2,246000,170079,69.1,154287,62.7,15792,9.3
4,Arizona,1977,2,1697000,1022132,60.2,928095,54.7,94037,9.2
5,Arkansas,1977,2,1568000,909742,58.0,849311,54.2,60431,6.6
6,California,1977,2,16104000,10180022,63.2,9252000,57.5,928022,9.1
37,Los Angeles County,1977,2,5367000,3429816,63.9,3131856,58.4,297960,8.7
8,Colorado,1977,2,1898000,1279680,67.4,1194716,62.9,84964,6.6
9,Connecticut,1977,2,2276000,1466712,64.4,1349630,59.3,117082,8.0
10,Delaware,1977,2,426000,269929,63.4,245112,57.5,24817,9.2
11,District of Columbia,1977,2,514000,327741,63.8,299026,58.2,28715,8.8
12,Florida,1977,2,6637000,3654330,55.1,3325698,50.1,328632,9.0
13,Georgia,1977,2,3613000,2316283,64.1,2134064,59.1,182219,7.9
15,Hawaii,1977,2,603000,415778,69.0,381274,63.2,34504,8.3
16,Idaho,1977,2,603000,387055,64.2,364018,60.4,23037,6.0
17,Illinois,1977,2,8244000,5216911,63.3,4897397,59.4,319514,6.1
18,Indiana,1977,2,3847000,2454862,63.8,2313124,60.1,141738,5.8
19,Iowa,1977,2,2100000,1371753,65.3,1315914,62.7,55839,4.1
20,Kansas,1977,2,1664000,1098902,66.0,1053448,63.3,45454,4.1
