FIPS,State,Year,Month,Population,LaborForce,LF_Percent,Employed,Emp_Percent,Unemployed,Unemp_Rate
29,Missouri,1987,6,3807343,2520345,66.2,2358795,62.0,161550,6.4
30,Montana,1987,6,595590,399736,67.1,370141,62.1,29595,7.4
31,Nebraska,1987,6,1151155,794841,69.0,759762,66.0,35079,4.4
32,Nevada,1987,6,803738,585294,72.8,548834,68.3,36460,6.2
33,New Hampshire,1987,6,800193,580360,72.5,567966,71.0,12394,2.1
34,New Jersey,1987,6,5984054,3946105,65.9,3785054,63.3,161051,4.1
35,New Mexico,1987,6,1081544,678968,62.8,618209,57.2,60759,8.9
36,New York,1987,6,13924803,8569245,61.5,8165804,58.6,403441,4.7
51000,New York city,1987,6,5814088,3229179,55.5,3053680,52.5,175499,5.4
37,North Carolina,1987,6,4858113,3313128,68.2,3162842,65.1,150286,4.5
38,North Dakota,1987,6,470896,322754,68.5,306840,65.2,15914,4.9
39,Ohio,1987,6,8081064,5207548,64.4,4833694,59.8,373854,7.2
40,Oklahoma,1987,6,2367941,1533100,64.7,1424632,60.2,108468,7.1
41,Oregon,1987,6,2084175,1390331,66.7,1307223,62.7,83108,6.0
42,Pennsylvania,1987,6,9134946,5560532,60.9,5241452,57.4,319080,5.7
44,Rhode Island,1987,6,760959,514737,67.6,495149,65.1,19588,3.8
45,South Carolina,1987,6,2492904,1630142,65.4,1542924,61.9,87218,5.4
46,South Dakota,1987,6,500600,341534,68.2,326773,65.3,14761,4.3
47,Tennessee,1987,6,3653337,2311006,63.3,2155188,59.0,155818,6.7
48,Texas,1987,6,12203442,8386982,68.7,7672178,62.9,714804,8.5
49,Utah,1987,6,1100675,766719,69.7,718372,65.3,48347,6.3
50,Vermont,1987,6,407610,290905,71.4,280322,68.8,10583,3.6
51,Virginia,1987,6,4426609,3025879,68.4,2899454,65.5,126425,4.2
53,Washington,1987,6,3439834,2286374,66.5,2122192,61.7,164182,7.2
54,West Virginia,1987,6,1421351,729820,51.3,649988,45.7,79832,10.9
55,Wisconsin,1987,6,3607284,2483445,68.8,2342447,64.9,140998,5.7
56,Wyoming,1987,6,338418,236038,69.7,217136,64.2,18902,8.0
1,Alabama,1987,7,3007541,1848327,61.5,1701123,56.6,147204,8.0
2,Alaska,1987,7,360168,259113,71.9,233022,64.7,26091,10.1
4,Arizona,1987,7,2602335,1664222,64.0,1561219,60.0,103003,6.2
5,Arkansas,1987,7,1756644,1082052,61.6,995112,56.6,86940,8.0
