term,Coef (SE),p
Intercept,0.771 (0.173),< .001
Redline_CD,-0.105 (0.054),0.051
MAGNET_FLAG,0.218 (0.064),< .001
CHARTER_FLAG,-0.080 (0.079),0.314
PCT_CERTIFIED_FTE,-0.000 (0.002),0.878
TITLE1_FLAG,0.147 (0.056),0.009**
